,pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0,alabama,0,"Alabama () is a state in the Southeastern region of the United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west.",0.06,0.011705012992024422,0.011235266923904419,0.8366360664367676,0.03584718331694603,0.019692769274115562,0.017788732424378395,0.012320893816649914,0.01402002852410078,0.02410709671676159,0.0166469719260931
1,0,alabama,1,"Alabama is the 30th largest by area and the 24th-most populous of the US states.Alabama is nicknamed the Yellowhammer State, after the state bird.",0.12,0.17459037899971008,0.07285003364086151,0.10871534794569016,0.0934104397892952,0.04239126294851303,0.14623908698558807,0.08958768099546432,0.10120189189910889,0.060064710676670074,0.11094918102025986
2,0,alabama,2,"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"".",0.05,0.17247004806995392,0.10787265747785568,0.09165266901254654,0.1545456498861313,0.04914700984954834,0.08926353603601456,0.07551198452711105,0.12791700661182404,0.09345228970050812,0.03816718980669975
3,0,alabama,3,"The state tree is the longleaf pine, and the state flower is the camellia.",0.08,0.05055088922381401,0.05830707773566246,0.024842996150255203,0.1606510430574417,0.5103878378868103,0.021443745121359825,0.057843174785375595,0.04327411577105522,0.04509971663355827,0.027599427849054337
4,0,alabama,4,"Alabama's capital is Montgomery, and its largest city by population and area is Huntsville.",0.03,0.08526229113340378,0.04950866475701332,0.06837107986211777,0.03795427083969116,0.029292598366737366,0.16231751441955566,0.08989442884922028,0.05519787594676018,0.02303014136850834,0.3991711437702179
5,0,alabama,5,"Its oldest city is Mobile, founded by French colonists (Alabama Creoles) in 1702 as the capital of French Louisiana.",0.01,0.01738164760172367,0.026017313823103905,0.053362227976322174,0.030763978138566017,0.026651784777641296,0.06320138275623322,0.05113159492611885,0.03382197767496109,0.634549081325531,0.06311901658773422
6,0,alabama,6,"Greater Birmingham is Alabama's largest metropolitan area and its economic center.Originally home to many native tribes, present-day Alabama was a Spanish territory beginning in the sixteenth century until the French acquired it in the early eighteenth century.",0.05,0.021280517801642418,0.01115325279533863,0.026543397456407547,0.03335220739245415,0.006682574283331633,0.06423721462488174,0.015444214455783367,0.021197201684117317,0.752953827381134,0.047155577689409256
7,0,alabama,7,The British won the territory in 1763 until losing it in the American Revolutionary War.,0.0,0.03885241970419884,0.019817927852272987,0.03711557015776634,0.035904694348573685,0.02896508015692234,0.054798584431409836,0.04693770036101341,0.029734401032328606,0.6684268116950989,0.03944685682654381
8,0,alabama,8,Spain held Mobile as part of Spanish West Florida until 1813.,0.01,0.05520714446902275,0.05149192363023758,0.07667407393455505,0.055106520652770996,0.0924670398235321,0.05554964020848274,0.04580572247505188,0.04866703599691391,0.4520858824253082,0.06694506853818893
9,0,alabama,9,"In December 1819, Alabama was recognized as a state.",0.04,0.09706057608127594,0.06768455356359482,0.0649004653096199,0.10101262480020523,0.07705613970756531,0.08512844890356064,0.07944542914628983,0.11883559077978134,0.26901134848594666,0.039864834398031235
10,0,alabama,10,"During the antebellum period, Alabama was a major producer of cotton, and widely used African American slave labor.",0.01,0.3025512099266052,0.0640074834227562,0.029832780361175537,0.07255645096302032,0.02987333945930004,0.03578198701143265,0.03421267867088318,0.05636962875723839,0.3356645703315735,0.03914990648627281
