pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,alabama,0,"Alabama () is a state in the Southeastern region of the United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west.",0.06,0.0117050129920244,0.0112352669239044,0.8366360664367676,0.035847183316946,0.0196927692741155,0.0177887324243783,0.0123208938166499,0.0140200285241007,0.0241070967167615,0.0166469719260931
0,alabama,1,"Alabama is the 30th largest by area and the 24th-most populous of the US states.Alabama is nicknamed the Yellowhammer State, after the state bird.",0.12,0.17459037899971,0.0728500336408615,0.1087153479456901,0.0934104397892952,0.042391262948513,0.146239086985588,0.0895876809954643,0.1012018918991088,0.06006471067667,0.1109491810202598
0,alabama,2,"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"".",0.05,0.1724700480699539,0.1078726574778556,0.0916526690125465,0.1545456498861313,0.0491470098495483,0.0892635360360145,0.075511984527111,0.127917006611824,0.0934522897005081,0.0381671898066997
0,alabama,3,"The state tree is the longleaf pine, and the state flower is the camellia.",0.08,0.050550889223814,0.0583070777356624,0.0248429961502552,0.1606510430574417,0.5103878378868103,0.0214437451213598,0.0578431747853755,0.0432741157710552,0.0450997166335582,0.0275994278490543
0,alabama,4,"Alabama's capital is Montgomery, and its largest city by population and area is Huntsville.",0.03,0.0852622911334037,0.0495086647570133,0.0683710798621177,0.0379542708396911,0.0292925983667373,0.1623175144195556,0.0898944288492202,0.0551978759467601,0.0230301413685083,0.3991711437702179
0,alabama,5,"Its oldest city is Mobile, founded by French colonists (Alabama Creoles) in 1702 as the capital of French Louisiana.",0.01,0.0173816476017236,0.0260173138231039,0.0533622279763221,0.030763978138566,0.0266517847776412,0.0632013827562332,0.0511315949261188,0.033821977674961,0.634549081325531,0.0631190165877342
0,alabama,6,"Greater Birmingham is Alabama's largest metropolitan area and its economic center.Originally home to many native tribes, present-day Alabama was a Spanish territory beginning in the sixteenth century until the French acquired it in the early eighteenth century.",0.05,0.0212805178016424,0.0111532527953386,0.0265433974564075,0.0333522073924541,0.0066825742833316,0.0642372146248817,0.0154442144557833,0.0211972016841173,0.752953827381134,0.0471555776894092
0,alabama,7,The British won the territory in 1763 until losing it in the American Revolutionary War.,0.0,0.0388524197041988,0.0198179278522729,0.0371155701577663,0.0359046943485736,0.0289650801569223,0.0547985844314098,0.0469377003610134,0.0297344010323286,0.6684268116950989,0.0394468568265438
0,alabama,8,Spain held Mobile as part of Spanish West Florida until 1813.,0.01,0.0552071444690227,0.0514919236302375,0.076674073934555,0.0551065206527709,0.0924670398235321,0.0555496402084827,0.0458057224750518,0.0486670359969139,0.4520858824253082,0.0669450685381889
0,alabama,9,"In December 1819, Alabama was recognized as a state.",0.04,0.0970605760812759,0.0676845535635948,0.0649004653096199,0.1010126248002052,0.0770561397075653,0.0851284489035606,0.0794454291462898,0.1188355907797813,0.2690113484859466,0.0398648343980312
0,alabama,10,"During the antebellum period, Alabama was a major producer of cotton, and widely used African American slave labor.",0.01,0.3025512099266052,0.0640074834227562,0.0298327803611755,0.0725564509630203,0.0298733394593,0.0357819870114326,0.0342126786708831,0.0563696287572383,0.3356645703315735,0.0391499064862728
0,alabama,11,"In 1861, the state seceded from the United States to become part of the Confederate States of America, with Montgomery acting as its first capital, and rejoined the Union in 1868.",0.07,0.0252035241574049,0.0360740385949611,0.0513702630996704,0.045569933950901,0.0335290618240833,0.0481255277991294,0.0472741648554801,0.0932894498109817,0.589582085609436,0.0299820192158222
0,alabama,12,"Following the American Civil War, Alabama would suffer decades of economic hardship, in part due to agriculture and a few cash crops being the main driver of the state's economy.",0.06,0.48699751496315,0.0375699624419212,0.0367400720715522,0.0592250786721706,0.0198815949261188,0.0376007631421089,0.0287306550890207,0.0374158546328544,0.2046720534563064,0.0511664748191833
0,alabama,13,"Similar to other former slave states, Alabamian legislators employed Jim Crow laws from the late 19th century up until the 1960s.",0.02,0.0750180929899215,0.1072686538100242,0.0581657066941261,0.0477503836154937,0.0504053607583045,0.0827755555510521,0.0438561737537384,0.1909294128417968,0.3080165088176727,0.0358141474425792
0,alabama,14,High-profile events such as the Selma to Montgomery march made the state a major focal point of the civil rights movement in the 1950s and 1960s.,0.05,0.1413974016904831,0.042490791529417,0.0325523130595684,0.0595662668347358,0.0524141378700733,0.0581438317894935,0.1044651791453361,0.1340561956167221,0.1833835691213607,0.1915303319692611
0,alabama,15,"During and after World War II, Alabama grew as the state's economy diversified with new industries.",0.05,0.7022688984870911,0.019823282957077,0.0152343576774001,0.0315277688205242,0.016630521044135,0.0216974299401044,0.0240652728825807,0.0185300074517726,0.1098766475915908,0.0403457656502723
0,alabama,16,"NASA's Marshall Space Flight Center in Huntsville would help Alabama's economic growth in the mid-to-late 20th century, by developing an aerospace industry.",0.02,0.7342989444732666,0.0116904210299253,0.020866809412837,0.0148593308404088,0.0187641978263854,0.0126569019630551,0.0460786186158657,0.0312233958393335,0.0281461384147405,0.0814152508974075
0,alabama,17,"Alabama's economy in the 21st century is based on automotive, finance, tourism, manufacturing, aerospace, mineral extraction, healthcare, education, retail, and technology.The state's geography is diverse, with the north dominated by the mountainous Tennessee Valley and the south by Mobile Bay, a historically significant port.",0.06,0.625726044178009,0.0293554794043302,0.0958009958267211,0.0504802763462066,0.0111332088708877,0.0189684517681598,0.0437395870685577,0.017064256593585,0.0305457953363657,0.0771859511733055
0,alabama,18,"Politically, as part of the Deep South, Alabama is predominantly a conservative state, and is known for its Southern culture.",0.06,0.099678561091423,0.0807030946016311,0.1376421302556991,0.1590094566345214,0.0598300956189632,0.1731663197278976,0.0690132081508636,0.0947016105055809,0.0680722966790199,0.0581832639873027
0,alabama,19,"Within Alabama, American football, particularly at the college level, plays a major part of the state's culture.",0.06,0.0655086860060691,0.0605380125343799,0.0505003631114959,0.050379104912281,0.0741337016224861,0.1191215068101883,0.2074383944272995,0.0876061618328094,0.0720198079943656,0.2127542495727539
0,alabama,20,"The European-American naming of the Alabama River and state was derived from the Alabama people, a Muskogean-speaking tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper reaches of the river.",0.05,0.0279728416353464,0.0262192916125059,0.3254910707473755,0.0504582114517688,0.0451243110001087,0.1030802950263023,0.0494571439921855,0.0594568438827991,0.2624127566814422,0.0503272414207458
0,alabama,21,"In the Alabama language, the word for a person of Alabama lineage is Albaamo (or variously Albaama or Albàamo in different dialects; the plural form is Albaamaha).",0.0,0.0670214295387268,0.090120255947113,0.0588989444077014,0.1176095157861709,0.0888452976942062,0.2141144275665283,0.0417762100696563,0.0681314617395401,0.191089317202568,0.0623931288719177
0,alabama,22,The word's spelling varies significantly among historical sources.,0.0,0.0350056439638137,0.0658040642738342,0.0291011463850736,0.0450942888855934,0.513815701007843,0.0946063175797462,0.0580148100852966,0.0642029345035553,0.056153442710638,0.0382016897201538
0,alabama,23,"The first usage appears in three accounts of the Hernando de Soto expedition of 1540: Garcilaso de la Vega used Alibamo, while the Knight of Elvas and Rodrigo Ranjel wrote Alibamu and Limamu, respectively, in transliterations of the term.",0.02,0.0524534583091735,0.0687156990170478,0.0547645986080169,0.0573148690164089,0.1802271455526352,0.0701644569635391,0.1082882061600685,0.0773320794105529,0.2904131412506103,0.0403263866901397
0,alabama,24,"As early as 1702, the French called the tribe the Alibamon, with French maps identifying the river as Rivière des Alibamons.",0.01,0.0447425954043865,0.0397450104355812,0.1027996093034744,0.0594460666179657,0.0633009001612663,0.0708564892411232,0.0437371507287025,0.041853904724121,0.4822218418121338,0.0512965023517608
