,pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0,alabama,0,"Alabama () is a state in the Deep South region of the Southern United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west.",0.22,0.08791919765062631,0.039862712554167956,0.01661560800857842,0.6571767538785934,0.03698140726191923,0.06118537960574031,0.05964361308142543,0.01694933665858116,0.012427084730006754,0.011238912888802587
1,0,alabama,1,Alabama is the 30th largest by area and the 24th-most populous of the US states.,0.16,0.06039100510533899,0.42902829237282275,0.05405329305212945,0.10124117328086868,0.0586398757644929,0.05710961646400392,0.04101049767341465,0.05604172830935568,0.07685188584728167,0.06563262630952522
2,0,alabama,2,"With a total of 1,500 miles (2,400 km) of inland waterways, Alabama has among the most of any state.",0.2,0.13084702417254448,0.07839041403494776,0.09716637306846679,0.27136019580066206,0.04918640304822475,0.09628970578778535,0.04654429492074996,0.07391190980561077,0.0928264278685674,0.06347723761573434
3,0,alabama,3,"Alabama is nicknamed the Yellowhammer State, after the state bird.",0.13,0.09442951045930385,0.06483421537559479,0.31657087430357933,0.06286078923149034,0.07229198213899508,0.09162092534825206,0.07295283721759915,0.06847174996510148,0.07947662335354835,0.07649049293249846
4,0,alabama,4,"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"".",0.19,0.14169189957901834,0.1060678159352392,0.07219890444539487,0.0845122572267428,0.09826393260154873,0.09529097429476678,0.172199241258204,0.08082178086042405,0.07048524210695177,0.07846795646473766
5,0,alabama,5,"The state tree is the longleaf pine, and the state flower is the camellia.",0.13,0.07203709464520217,0.08228044443530962,0.6291365526616574,0.029325201589381324,0.03889933544851374,0.027737289521610364,0.017916345555568113,0.039050384028814736,0.029922260716557503,0.033695086609805004
6,0,alabama,6,Alabama's capital is Montgomery.,0.16,0.10044714615214616,0.07516000841278583,0.19000005396082997,0.0651492950739339,0.14339705617167056,0.0586552390595898,0.09446447943337262,0.08169879177585244,0.08748709028586746,0.10354083913844078
7,0,alabama,7,"The largest city by population is Birmingham, which has long been the most industrialized city; the largest city by land area is Huntsville.",0.14,0.028095056861639024,0.31146321892738343,0.033727985731093216,0.09704847699031234,0.16586942854337394,0.022807285995804706,0.050679800880607216,0.04727260225918144,0.024755819200072436,0.21828032582998275
8,0,alabama,8,"The oldest city is Mobile, founded by French colonists in 1702 as the capital of French Louisiana.",0.13,0.014223772543482482,0.013553236081497744,0.01585961738601327,0.03170648954692297,0.02851676578866318,0.8174711763858795,0.01516391420736909,0.01840951883350499,0.022735617321450262,0.022359891049563884
9,0,alabama,9,"Greater Birmingham is Alabama's largest urban economy, its most populous urban area, and its economic center.",0.16,0.01883317108731717,0.3116929244250059,0.018087120301788672,0.16521172309294344,0.08517644666135311,0.022220336180180312,0.028474799037212506,0.020155932361376472,0.026035135542042554,0.30411240048706534
10,0,alabama,10,"From the American Civil War until World War II, Alabama, like many states in the southern US, suffered economic hardship, in part because of its continued dependence on agriculture.",0.13,0.03747105565853417,0.031752338726073505,0.033399084326811136,0.02081935626338236,0.036557653063209725,0.09876847832929343,0.359410959109664,0.03361107230884954,0.025915384734980763,0.3222946386784315
11,0,alabama,11,"Similar to other former slave states, Alabamian legislators employed Jim Crow laws to disenfranchise and otherwise discriminate against African Americans from the end of the Reconstruction Era up until at least the 1970s.",0.14,0.02011358392483089,0.03499060415197164,0.024064284551423044,0.03417748076608405,0.014521722926292568,0.04705632128752768,0.7324330180883407,0.019082602683920414,0.04663837007246911,0.026922014087904244
12,0,alabama,12,"Despite the growth of major industries and urban centers, white rural interests dominated the state legislature from 1901 to the 1960s.",0.14,0.05128853035857901,0.0781783654121682,0.04703878400614485,0.04190164856845513,0.05488043655641377,0.06776240817271173,0.17898625936359167,0.10654954244382679,0.0544044931884855,0.31900953911244867
13,0,alabama,13,"During this time, urban interests and African Americans were markedly under-represented.",0.16,0.08615492545068264,0.17393769528716801,0.11410511704161763,0.08330147204687818,0.08679644437506795,0.08756972879637033,0.07253999509848655,0.13864402272738516,0.06445787702687085,0.09249274025205523
14,0,alabama,14,"Following World War II, Alabama grew as the state's economy changed from one primarily based on agriculture to one with diversified interests.",0.16,0.01570696088601835,0.025773779163137077,0.01022584952879697,0.017814685869961978,0.02315313571598381,0.05313418847508729,0.09206222505308688,0.01900548506528139,0.021571505727479234,0.7215521693229675
15,0,alabama,15,"The state's economy in the 21st century is based on management, automotive, finance, manufacturing, aerospace, mineral extraction, healthcare, education, retail, and technology.",0.16,0.004734774664393626,0.005395928856160026,0.007794735443894751,0.005657795882143546,0.010423192562302574,0.008260678336955606,0.009088207136665005,0.011420128631289116,0.022769740867079235,0.9144548207521439
16,0,alabama,16,"The European-American naming of the Alabama River and state was derived from the Alabama people, a Muskogean-speaking tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper reaches of the river.",0.19,0.029196358332410455,0.02802996780956164,0.007951876218430697,0.09397360640577972,0.027038109255954623,0.7444481015205383,0.01956047158309957,0.01909416145645082,0.021648044988978654,0.0090593062894186
17,0,alabama,17,"In the Alabama language, the word for a person of Alabama lineage is Albaamo (or variously Albaama or Albàamo in different dialects; the plural form is Albaamaha).",0.2,0.09754731864668428,0.20934835579246283,0.19847324546426534,0.04126664556097239,0.053225783456582576,0.10857472927309572,0.0751908657606691,0.09703189345309511,0.049090423877350985,0.07025074048433452
18,0,alabama,18,"The suggestion that ""Alabama"" was borrowed from the Choctaw language is unlikely.",0.16,0.08747839869465679,0.12755108126439155,0.1390709043480456,0.0662363292183727,0.12675406036432832,0.20122350472956896,0.06603240827098489,0.0747313154861331,0.06443588191177696,0.046486097539309414
19,0,alabama,19,The word's spelling varies significantly among historical sources.,0.16,0.06624230747111141,0.033182841003872456,0.5817427426576615,0.05079309074499179,0.03203539669048041,0.052454303977719975,0.040709358593449,0.08613080696668476,0.021675377630162983,0.03503377140732482
