;pid;name;sid;sentence;score;topic_0;topic_1;topic_2;topic_3;topic_4;topic_5;topic_6;topic_7;topic_8;topic_9
0;0;alabama;0;"Alabama () is a state in the Deep South region of the Southern United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west.";0.22;0.014426563255256;0.022793099912815;0.024158958403859;0.105471137911081;0.182349197380245;0.008869438577676;0.016254035575548;0.020582826796454;0.567457456886768;0.037637282256037
1;0;alabama;1;Alabama is the 30th largest by area and the 24th-most populous of the US states.;0.16;0.049889163009357;0.068650400498882;0.06079116089968;0.038977351665381;0.077376368874684;0.057641147030518;0.065595499612391;0.098251675534993;0.097792927012779;0.385034308955073
2;0;alabama;2;With a total of 1,500 miles (2,400 km) of inland waterways, Alabama has among the most of any state.;0.2;0.069952123009716;0.074146147770807;0.065229846560396;0.100425403029658;0.059524341783254;0.122533259401098;0.040621805447154;0.082633425947279;0.297771771065891;0.087161865655799
3;0;alabama;3;Alabama is nicknamed the Yellowhammer State, after the state bird.;0.13;0.284344076365233;0.111694679828361;0.096158936806023;0.063279740861617;0.065481398813427;0.089210488134995;0.11007229804527;0.078659664234147;0.063025892904261;0.038072833931074
4;0;alabama;4;"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"".";0.19;0.061836510454305;0.062925913603976;0.113990820292383;0.131335870735347;0.134856099262834;0.064228766958695;0.076518690271769;0.111106244800612;0.127865339780692;0.115335747925565
5;0;alabama;5;The state tree is the longleaf pine, and the state flower is the camellia.;0.13;0.666816905140877;0.042246547085233;0.021671868796693;0.09153907019645;0.018684678728459;0.018991545226891;0.042647011892405;0.046596744889394;0.026131153258029;0.024674475379288
6;0;alabama;6;Alabama's capital is Montgomery.;0.16;0.06698356771376;0.125942201213911;0.079887415212579;0.126188601646572;0.090969781659078;0.116181816719472;0.100474788201973;0.082586739992257;0.124778739502653;0.086006347788498
7;0;alabama;7;"The largest city by population is Birmingham, which has long been the most industrialized city; the largest city by land area is Huntsville.";0.14;0.020817401976092;0.118748237611726;0.022082890872844;0.059180266497424;0.026272821787279;0.041383224248421;0.025594131619437;0.148771644569933;0.354735567420721;0.182413806207478
8;0;alabama;8;The oldest city is Mobile, founded by French colonists in 1702 as the capital of French Louisiana.;0.13;0.021212395012844;0.04771499679191;0.043073752312921;0.028443846071605;0.725116996467113;0.02819655474741;0.021137552522123;0.023542168334825;0.041128438140731;0.020433299837168
9;0;alabama;9;Greater Birmingham is Alabama's largest urban economy, its most populous urban area, and its economic center.;0.16;0.016381701942009;0.069537165341899;0.024235560320085;0.025342450820608;0.032503656455083;0.02854899878148;0.04531068110955;0.201254500262439;0.329685743898153;0.227199525758624
10;0;alabama;10;From the American Civil War until World War II, Alabama, like many states in the southern US, suffered economic hardship, in part because of its continued dependence on agriculture.;0.13;0.023213381314417;0.03474215749302;0.031349244108424;0.06443957061274;0.263466510176659;0.026922581146937;0.057370817067567;0.403428149223328;0.060642416693736;0.034425179415848
11;0;alabama;11;Similar to other former slave states, Alabamian legislators employed Jim Crow laws to disenfranchise and otherwise discriminate against African Americans from the end of the Reconstruction Era up until at least the 1970s.;0.14;0.04104270695243;0.036984298832249;0.233690709294751;0.06498009149218;0.192571760807186;0.056827515456826;0.195027825795114;0.041058723488823;0.05467818598263;0.083138174260967
12;0;alabama;12;Despite the growth of major industries and urban centers, white rural interests dominated the state legislature from 1901 to the 1960s.;0.14;0.046923448471353;0.058816856564954;0.060146997903939;0.019829423783813;0.056454754970037;0.075696698366664;0.444765493273735;0.10897267004475;0.082182896847371;0.046210759098176
13;0;alabama;13;During this time, urban interests and African Americans were markedly under-represented.;0.16;0.102806454664096;0.053256649617106;0.080813162960112;0.062235078262165;0.096892160712741;0.073192241229117;0.118061775388196;0.110517131211236;0.079315962723922;0.222909389436245
14;0;alabama;14;Following World War II, Alabama grew as the state's economy changed from one primarily based on agriculture to one with diversified interests.;0.16;0.019947542168666;0.064105246169493;0.033025010151323;0.01433169869706;0.079440742358565;0.021988745138515;0.044334605976474;0.672574682533741;0.024482355767395;0.025769378407858
15;0;alabama;15;The state's economy in the 21st century is based on management, automotive, finance, manufacturing, aerospace, mineral extraction, healthcare, education, retail, and technology.;0.16;0.023497286153725;0.010652040413697;0.011699024264817;0.015692432000651;0.007378099564812;0.033589787533856;0.009580447484041;0.86623820066452;0.012061786683626;0.009610875611543
16;0;alabama;16;The European-American naming of the Alabama River and state was derived from the Alabama people, a Muskogean-speaking tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper reaches of the river.;0.19;0.021941333427094;0.022731285193004;0.028261887151166;0.036984383594245;0.670264407992363;0.023669367813272;0.023613814846613;0.015558575530304;0.05396176148206;0.103013205435127
17;0;alabama;17;"In the Alabama language, the word for a person of Alabama lineage is Albaamo (or variously Albaama or Albàamo in different dialects; the plural form is Albaamaha).";0.2;0.063306915853173;0.086610780924093;0.057210697024129;0.084946270217188;0.171939963568002;0.089638346410357;0.060989732481539;0.055533231352456;0.112363631650805;0.21746043227613
18;0;alabama;18;"The suggestion that ""Alabama"" was borrowed from the Choctaw language is unlikely.";0.16;0.119244028208777;0.106782255077269;0.062117030099034;0.074084017705172;0.250045539112762;0.076373134297319;0.07898375390796;0.054454305768013;0.057533092889935;0.120382833009353
19;0;alabama;19;The word's spelling varies significantly among historical sources.;0.16;0.644466586410999;0.041675984347239;0.028699803468771;0.0429675856838;0.033878899668343;0.033687096647918;0.040223254231387;0.038979899743572;0.045514131919481;0.049906763364561
20;0;alabama;20;The first usage appears in three accounts of the Hernando de Soto expedition of 1540: Garcilaso de la Vega used Alibamo, while the Knight of Elvas and Rodrigo Ranjel wrote Alibamu and Limamu, respectively, in transliterations of the term.;0.14;0.297357596829534;0.055213110119803;0.09243552160915;0.075519448332489;0.185886589437723;0.0670194105478;0.067434890777804;0.062129234219901;0.02856165432604;0.068442558753304
21;0;alabama;21;As early as 1702, the French called the tribe the Alibamon, with French maps identifying the river as Rivière des Alibamons.;0.13;0.021144790516701;0.039275056880433;0.021512739878381;0.02056301436387;0.740555533766746;0.018857415916864;0.041008932772093;0.019719744211761;0.048938037967309;0.028424718137831
22;0;alabama;22;Other spellings of the name have included Alibamu, Alabamo, Albama, Alebamon, Alibama, Alibamou, Alabamu, Allibamou.;0.13;0.524862505123019;0.072166823231964;0.057741112814983;0.069444599293638;0.033859333849978;0.041037590743508;0.068364045128692;0.058215817785822;0.045402788498905;0.028905379539356
23;0;alabama;23;Sources disagree on the word's meaning.;0.16;0.474311457574368;0.06652297192486;0.069325763106463;0.056523305503652;0.048523285589181;0.043585432670079;0.095220060739666;0.048600744851865;0.032844297285192;0.064542665064801
24;0;alabama;24;"Some scholars suggest the word comes from the Choctaw alba (meaning ""plants"" or ""weeds"") and amo (meaning ""to cut"", ""to trim"", or ""to gather"").";0.39;0.402705378644168;0.044182889116928;0.071186504431535;0.07437411705032;0.06923828375293;0.070079377200455;0.048451264435425;0.037056449410739;0.115379012515768;0.06734673633473
25;0;alabama;25;"The meaning may have been ""clearers of the thicket"" or ""herb gatherers"", referring to clearing land for cultivation or collecting medicinal plants.";0.19;0.577427841722965;0.049723256393918;0.04501088213874;0.064879437969648;0.040303055531695;0.030886738537811;0.036717806314118;0.049382249428891;0.043357374862535;0.062311347445939
26;0;alabama;26;The state has numerous place names of Native American origin.;0.13;0.113021472189575;0.048809453845024;0.046330475609284;0.096075232280418;0.248622050043195;0.056905934517272;0.043245048820973;0.079262543516234;0.031890244910028;0.235837541986257
27;0;alabama;27;However, there are no correspondingly similar words in the Alabama language.;0.13;0.225213420204818;0.12912550678011;0.128944064932875;0.078419681405649;0.062444337783381;0.103469704836607;0.110201378632337;0.065614461782388;0.041233876650222;0.055333580402657
28;0;alabama;28;"An 1842 article in the Jacksonville Republican proposed it meant ""Here We Rest"".";0.16;0.533210895955563;0.033672988715989;0.040481345215812;0.082480351137929;0.043520973029081;0.047396184602985;0.074231626429537;0.061855669156648;0.028454495445476;0.054695486382116
29;0;alabama;29;This notion was popularized in the 1850s through the writings of Alexander Beaufort Meek.;0.14;0.520212998241186;0.035161035403144;0.053211468062364;0.074189261044376;0.04431108746212;0.074727977975272;0.076736576063559;0.03679899207782;0.052720962068997;0.031929641682655
30;0;alabama;30;Experts in the Muskogean languages have not found any evidence to support such a translation.;0.13;0.397654138877988;0.031294986193825;0.067366268695332;0.06631845603697;0.11070332089439;0.05609098012792;0.072659394773655;0.080316120991483;0.071265292004682;0.04633103418164
31;0;alabama;31;Indigenous peoples of varying cultures lived in the area for thousands of years before the advent of European colonization.;0.13;0.108343340922147;0.02960094618029;0.046627073432319;0.052239277015906;0.498239721357822;0.053407891537063;0.039903012872674;0.045980533701368;0.05366569092439;0.071992505621165
32;0;alabama;32;Trade with the northeastern tribes by the Ohio River began during the Burial Mound Period (1000 BCE – 700 CE) and continued until European contact.;0.19;0.023853272316046;0.027779255877249;0.022805411351146;0.08789780260995;0.621668000519276;0.025318191066617;0.02784284359077;0.052941380115226;0.066706959577277;0.043186880415306
33;0;alabama;33;The agrarian Mississippian culture covered most of the state from 1000 to 1600 CE, with one of its major centers built at what is now the Moundville Archaeological Site in Moundville, Alabama.;0.14;0.078838233649731;0.078159193997271;0.048738063499332;0.109998883586377;0.293256655707955;0.037676967773587;0.082452786085196;0.12601079242304;0.066452628886327;0.078415799373761
34;0;alabama;34;This is the second-largest complex of the classic Middle Mississippian era, after Cahokia in present-day Illinois, which was the center of the culture.;0.19;0.034682325273752;0.026837385783438;0.049865979154129;0.073128884157632;0.443396513164043;0.031676455016714;0.036634380707983;0.061762133287266;0.193608714267612;0.048407239315566
35;0;alabama;35;Analysis of artifacts from archaeological excavations at Moundville were the basis of scholars' formulating the characteristics of the Southeastern Ceremonial Complex (SECC).;0.22;0.190836178604513;0.173578732507303;0.0642199103022;0.072207814594731;0.101883553201333;0.086247497517616;0.098826253553853;0.084604557964485;0.077880288718734;0.049715212802403
36;0;alabama;36;Contrary to popular belief, the SECC appears to have no direct links to Mesoamerican culture, but developed independently.;0.13;0.280708410218358;0.082517913135234;0.06491831173189;0.103575900243595;0.162736716866493;0.063152625854127;0.038560523628257;0.080522026063409;0.057673237635754;0.065634328313172
37;0;alabama;37;"The Ceremonial Complex represents a major component of the religion of the Mississippian peoples; it is one of the primary means by which their religion is understood.";0.14;0.242809987254441;0.089380429685116;0.067354734498076;0.065896982367849;0.134513411158696;0.049862562096678;0.089277258922812;0.036574349028524;0.044525160361081;0.179805132327601
38;0;alabama;38;"Among the historical tribes of Native American people living in present-day Alabama at the time of European contact were the Cherokee, an Iroquoian language people; and the Muskogean-speaking Alabama (Alibamu), Chickasaw, Choctaw, Creek, and Koasati.";0.25;0.018542609922588;0.026348189450801;0.014070508407895;0.016895647445927;0.751552265882492;0.017041608918225;0.013033997465391;0.011307703395141;0.024999099667184;0.106208373140544
39;0;alabama;39;While part of the same large language family, the Muskogee tribes developed distinct cultures and languages.;0.13;0.195871640974656;0.042373815597966;0.03654600167647;0.077930992422626;0.40229060202837;0.036794074147474;0.053388189722318;0.04767651874572;0.036067641712725;0.071060534380376
40;0;alabama;40;With exploration in the 16th century, the Spanish were the first Europeans to reach Alabama.;0.14;0.084285775781609;0.027243322809227;0.038864690420451;0.063660243479535;0.534798499941826;0.040557920653373;0.046958046616055;0.061493628134485;0.051594239711994;0.050543638877571
41;0;alabama;41;The expedition of Hernando de Soto passed through Mabila and other parts of the state in 1540.;0.13;0.519912149384618;0.043272689706646;0.049531946197385;0.085878948227037;0.079952002986102;0.083787799807033;0.026417801127536;0.03884047435713;0.036222809343599;0.036183378280839
42;0;alabama;42;More than 160 years later, the French founded the region's first European settlement at Old Mobile in 1702.;0.16;0.03442111510085;0.021970419667196;0.03090664393385;0.02129509561928;0.761341938376427;0.026667401730083;0.028798161563464;0.022723822196713;0.021229093195871;0.030646287527634
43;0;alabama;43;The city was moved to the current site of Mobile in 1711.;0.13;0.350498345121741;0.078760537737981;0.061456079792697;0.076037829311099;0.103571720421314;0.06635876474902;0.053789860173129;0.071461425838061;0.085577767796349;0.052487666119123
44;0;alabama;44;This area was claimed by the French from 1702 to 1763 as part of La Louisiane.;0.14;0.063646742142737;0.034862145438092;0.058620103495196;0.035110425658058;0.558508688211441;0.045479995309142;0.04524605886545;0.055591011763318;0.057749058236368;0.045185767300427
45;0;alabama;45;After the French lost to the British in the Seven Years' War, it became part of British West Florida from 1763 to 1783.;0.16;0.018847176095005;0.034505589213222;0.038563191477442;0.037429909227649;0.727949342131615;0.020354743045755;0.028710120130563;0.016543389711296;0.033342378993984;0.043754145875573
46;0;alabama;46;After the United States victory in the American Revolutionary War, the territory was divided between the United States and Spain.;0.13;0.01119310252252;0.020253642470925;0.022402834449895;0.021130481918226;0.829217806458473;0.022538779990282;0.019240847788751;0.015388023678679;0.020795993477805;0.017838486493565
