,pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,,,,,,,,,,,,,,,,
0,0,alabama,0,"Alabama () is a state in the Deep South region of the Southern United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west.",0.22,0.009747476392658,0.005395293407491,0.018407020694576,0.010201037838124,0.010676124936435,0.007354700259748,0.009255633720022,0.90447713136673,0.009202383493539,0.01528318420751,,,,,,,,,,,,,,,,
1,0,alabama,1,Alabama is the 30th largest by area and the 24th-most populous of the US states.,0.16,0.059232630999759,0.059735548775643,0.177806618064642,0.066811641119421,0.078705312637612,0.048472734703682,0.102308016037568,0.055320337973535,0.29055202268064,0.061055128660519,,,,,,,,,,,,,,,,
2,0,alabama,2,"With a total of 1,500 miles (2,400 km) of inland waterways, Alabama has among the most of any state.",0.2,0.193592304550111,0.050437544391025,0.03560960967443,0.106925181043334,0.043496541143395,0.052511579170823,0.032868500531186,0.2870884552598,0.117529975622892,0.079940311471,,,,,,,,,,,,,,,,
3,0,alabama,3,"Alabama is nicknamed the Yellowhammer State, after the state bird.",0.13,0.106226606946439,0.236035886779428,0.088297294965014,0.066711979429238,0.077657585171983,0.072516104625538,0.111200719932094,0.092774769477546,0.061198778846301,0.087380283139646,,,,,,,,,,,,,,,,
4,0,alabama,4,"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"".",0.19,0.116086562769487,0.034307759767398,0.104140217159875,0.073902912531048,0.037973164743744,0.063901315629482,0.077490815822966,0.270635293796659,0.045343958877493,0.176217989437282,,,,,,,,,,,,,,,,
5,0,alabama,5,"The state tree is the longleaf pine, and the state flower is the camellia.",0.13,0.200159469805658,0.49473217278719,0.041706231422722,0.038043853535783,0.038046483090147,0.033001793484436,0.037203093414428,0.034992220200366,0.045210871391464,0.036903810081276,,,,,,,,,,,,,,,,
6,0,alabama,6,Alabama's capital is Montgomery.,0.16,0.079361069039442,0.203048096038401,0.052756572491489,0.067018394358456,0.122874180972576,0.055753548024222,0.108264931477606,0.106357605580706,0.112925920961425,0.091639685351402,,,,,,,,,,,,,,,,
7,0,alabama,7,"The largest city by population is Birmingham, which has long been the most industrialized city; the largest city by land area is Huntsville.",0.14,0.008959678682731,0.012359994629514,0.027398140006699,0.020424748625374,0.010963864100631,0.011428972732392,0.027527838241076,0.008378940910916,0.866266238689423,0.00629157479998,,,,,,,,,,,,,,,,
8,0,alabama,8,"The oldest city is Mobile, founded by French colonists in 1702 as the capital of French Louisiana.",0.13,0.030345329234842,0.036835756863002,0.045074271748308,0.035202317978838,0.043867665017024,0.022434155910742,0.051571524562314,0.103257983387448,0.072499735467136,0.55891127884388,,,,,,,,,,,,,,,,
9,0,alabama,9,"Greater Birmingham is Alabama's largest urban economy, its most populous urban area, and its economic center.",0.16,0.016901195596438,0.014035367207544,0.046400562208146,0.023010583641008,0.029134955618065,0.016252046482987,0.018720656749792,0.018133844056865,0.805675700306892,0.011735085520195,,,,,,,,,,,,,,,,
